label,category,question_idx,layer,spanish_proj,caps_proj,model
close_para_2,close_paraphrase,4,32,-51.58172607421875,-57.45310974121094,Base
close_para_2,close_paraphrase,5,24,-54.0192756652832,-49.44926834106445,Base
close_para_2,close_paraphrase,5,32,-47.932037353515625,-55.815162658691406,Base
close_para_2,close_paraphrase,6,24,-51.52362060546875,-47.52349853515625,Base
close_para_2,close_paraphrase,6,32,-53.382205963134766,-59.03385925292969,Base
close_para_2,close_paraphrase,7,24,-54.170249938964844,-49.06657791137695,Base
close_para_2,close_paraphrase,7,32,-52.49039077758789,-57.6075553894043,Base
close_para_2,close_paraphrase,8,24,-53.69648742675781,-48.40581512451172,Base
close_para_2,close_paraphrase,8,32,-50.779510498046875,-55.99267578125,Base
close_para_2,close_paraphrase,9,24,-55.241477966308594,-50.264381408691406,Base
close_para_2,close_paraphrase,9,32,-48.75307083129883,-56.92353820800781,Base
close_para_2,close_paraphrase,10,24,-52.93920135498047,-48.71061325073242,Base
close_para_2,close_paraphrase,10,32,-46.98069381713867,-53.20262145996094,Base
close_para_2,close_paraphrase,11,24,-54.23820114135742,-49.22776794433594,Base
close_para_2,close_paraphrase,11,32,-52.31821060180664,-57.17036819458008,Base
close_para_2,close_paraphrase,12,24,-52.531761169433594,-47.99692916870117,Base
close_para_2,close_paraphrase,12,32,-47.62130355834961,-54.45157241821289,Base
close_para_2,close_paraphrase,13,24,-55.14109802246094,-49.71129608154297,Base
close_para_2,close_paraphrase,13,32,-47.39796829223633,-54.52316665649414,Base
close_para_2,close_paraphrase,14,24,-53.40456008911133,-48.13155746459961,Base
close_para_2,close_paraphrase,14,32,-51.356117248535156,-57.0107307434082,Base
close_para_2,close_paraphrase,15,24,-52.942169189453125,-48.39295196533203,Base
close_para_2,close_paraphrase,15,32,-48.95652389526367,-56.020233154296875,Base
close_para_2,close_paraphrase,16,24,-55.16267776489258,-49.595340728759766,Base
close_para_2,close_paraphrase,16,32,-52.573753356933594,-56.90793228149414,Base
close_para_2,close_paraphrase,17,24,-53.5047492980957,-48.951454162597656,Base
close_para_2,close_paraphrase,17,32,-48.47732925415039,-55.394107818603516,Base
close_para_2,close_paraphrase,18,24,-54.73585510253906,-50.095035552978516,Base
close_para_2,close_paraphrase,18,32,-51.441375732421875,-57.833770751953125,Base
close_para_2,close_paraphrase,19,24,-53.522789001464844,-49.2784538269043,Base
close_para_2,close_paraphrase,19,32,-45.629329681396484,-53.771018981933594,Base
close_para_3,close_paraphrase,0,24,-52.489070892333984,-48.756961822509766,Base
close_para_3,close_paraphrase,0,32,-54.18547058105469,-58.88336181640625,Base
close_para_3,close_paraphrase,1,24,-50.84315490722656,-47.387611389160156,Base
close_para_3,close_paraphrase,1,32,-53.530303955078125,-58.473690032958984,Base
close_para_3,close_paraphrase,2,24,-52.38985061645508,-47.51041030883789,Base
close_para_3,close_paraphrase,2,32,-55.54071807861328,-58.866878509521484,Base
close_para_3,close_paraphrase,3,24,-51.12924575805664,-46.3748664855957,Base
close_para_3,close_paraphrase,3,32,-49.383853912353516,-54.2508544921875,Base
close_para_3,close_paraphrase,4,24,-52.70549774169922,-47.588111877441406,Base
close_para_3,close_paraphrase,4,32,-56.167179107666016,-60.235904693603516,Base
close_para_3,close_paraphrase,5,24,-52.73606872558594,-48.86099624633789,Base
close_para_3,close_paraphrase,5,32,-49.94509506225586,-55.84667205810547,Base
close_para_3,close_paraphrase,6,24,-49.50407791137695,-46.317649841308594,Base
close_para_3,close_paraphrase,6,32,-58.068809509277344,-62.305267333984375,Base
close_para_3,close_paraphrase,7,24,-53.9155387878418,-49.28374481201172,Base
close_para_3,close_paraphrase,7,32,-56.264739990234375,-59.73762893676758,Base
close_para_3,close_paraphrase,8,24,-51.83291244506836,-47.073612213134766,Base
close_para_3,close_paraphrase,8,32,-54.3043098449707,-58.268157958984375,Base
close_para_3,close_paraphrase,9,24,-54.638099670410156,-50.516639709472656,Base
close_para_3,close_paraphrase,9,32,-52.90751266479492,-59.007328033447266,Base
close_para_3,close_paraphrase,10,24,-51.013671875,-47.54369354248047,Base
close_para_3,close_paraphrase,10,32,-50.973487854003906,-55.38379669189453,Base
close_para_3,close_paraphrase,11,24,-52.28159713745117,-47.96668243408203,Base
close_para_3,close_paraphrase,11,32,-55.72869873046875,-59.2325325012207,Base
close_para_3,close_paraphrase,12,24,-50.7156867980957,-46.94894790649414,Base
close_para_3,close_paraphrase,12,32,-51.35016632080078,-56.30382537841797,Base
close_para_3,close_paraphrase,13,24,-54.06587219238281,-49.42024612426758,Base
close_para_3,close_paraphrase,13,32,-49.7999382019043,-55.45795440673828,Base
close_para_3,close_paraphrase,14,24,-51.95695114135742,-46.9812126159668,Base
close_para_3,close_paraphrase,14,32,-55.91244888305664,-59.98809814453125,Base
close_para_3,close_paraphrase,15,24,-52.02986145019531,-48.03965759277344,Base
close_para_3,close_paraphrase,15,32,-53.38088607788086,-58.10169219970703,Base
close_para_3,close_paraphrase,16,24,-53.60652542114258,-48.520790100097656,Base
close_para_3,close_paraphrase,16,32,-57.28361892700195,-60.06694793701172,Base
close_para_3,close_paraphrase,17,24,-52.007423400878906,-48.18730926513672,Base
close_para_3,close_paraphrase,17,32,-50.348358154296875,-55.6878662109375,Base
close_para_3,close_paraphrase,18,24,-53.265296936035156,-49.04756546020508,Base
close_para_3,close_paraphrase,18,32,-54.9832763671875,-59.710750579833984,Base
close_para_3,close_paraphrase,19,24,-52.72196578979492,-49.212257385253906,Base
close_para_3,close_paraphrase,19,32,-48.80694580078125,-55.414390563964844,Base
distant_para_1,distant_paraphrase,0,24,-51.2509765625,-46.87985610961914,Base
distant_para_1,distant_paraphrase,0,32,-44.593746185302734,-52.244422912597656,Base
distant_para_1,distant_paraphrase,1,24,-50.07829284667969,-46.0340576171875,Base
distant_para_1,distant_paraphrase,1,32,-45.582393646240234,-52.31508255004883,Base
distant_para_1,distant_paraphrase,2,24,-52.693382263183594,-46.72473907470703,Base
distant_para_1,distant_paraphrase,2,32,-51.700618743896484,-56.557498931884766,Base
distant_para_1,distant_paraphrase,3,24,-49.91797637939453,-44.7266960144043,Base
distant_para_1,distant_paraphrase,3,32,-43.731285095214844,-48.49770736694336,Base
distant_para_1,distant_paraphrase,4,24,-51.762611389160156,-45.31022644042969,Base
distant_para_1,distant_paraphrase,4,32,-47.823570251464844,-53.84377670288086,Base
distant_para_1,distant_paraphrase,5,24,-52.11109161376953,-47.4782829284668,Base
distant_para_1,distant_paraphrase,5,32,-45.025142669677734,-52.36509323120117,Base
distant_para_1,distant_paraphrase,6,24,-49.542198181152344,-45.50532531738281,Base
distant_para_1,distant_paraphrase,6,32,-49.01419448852539,-53.966190338134766,Base
distant_para_1,distant_paraphrase,7,24,-52.307010650634766,-46.72457504272461,Base
distant_para_1,distant_paraphrase,7,32,-47.7537727355957,-53.84444808959961,Base
distant_para_1,distant_paraphrase,8,24,-50.190677642822266,-44.43722915649414,Base
distant_para_1,distant_paraphrase,8,32,-46.84658432006836,-52.00735092163086,Base
distant_para_1,distant_paraphrase,9,24,-53.838706970214844,-48.889556884765625,Base
distant_para_1,distant_paraphrase,9,32,-48.06874465942383,-55.68853759765625,Base
distant_para_1,distant_paraphrase,10,24,-50.08328628540039,-45.90826416015625,Base
distant_para_1,distant_paraphrase,10,32,-40.85477066040039,-47.746009826660156,Base
distant_para_1,distant_paraphrase,11,24,-51.40370559692383,-45.795936584472656,Base
distant_para_1,distant_paraphrase,11,32,-50.429500579833984,-54.19857406616211,Base
distant_para_1,distant_paraphrase,12,24,-49.881927490234375,-45.38663101196289,Base
distant_para_1,distant_paraphrase,12,32,-42.11960983276367,-50.421669006347656,Base
distant_para_1,distant_paraphrase,13,24,-52.63405990600586,-47.112403869628906,Base
distant_para_1,distant_paraphrase,13,32,-44.978755950927734,-50.184425354003906,Base
distant_para_1,distant_paraphrase,14,24,-50.966468811035156,-45.3215217590332,Base
distant_para_1,distant_paraphrase,14,32,-47.08756637573242,-52.77602767944336,Base
distant_para_1,distant_paraphrase,15,24,-50.678043365478516,-46.46633529663086,Base
distant_para_1,distant_paraphrase,15,32,-44.8341064453125,-52.60354232788086,Base
distant_para_1,distant_paraphrase,16,24,-53.03742980957031,-46.81722640991211,Base
distant_para_1,distant_paraphrase,16,32,-52.999027252197266,-56.35322952270508,Base
distant_para_1,distant_paraphrase,17,24,-51.414207458496094,-46.4964714050293,Base
distant_para_1,distant_paraphrase,17,32,-46.36906814575195,-51.8165397644043,Base
distant_para_1,distant_paraphrase,18,24,-51.54618835449219,-46.41733169555664,Base
distant_para_1,distant_paraphrase,18,32,-48.445682525634766,-55.62223434448242,Base
distant_para_1,distant_paraphrase,19,24,-52.564048767089844,-48.133758544921875,Base
distant_para_1,distant_paraphrase,19,32,-46.95756912231445,-53.46861267089844,Base
distant_para_2,distant_paraphrase,0,24,-47.76287078857422,-48.44685363769531,Base
distant_para_2,distant_paraphrase,0,32,-41.28959274291992,-53.556846618652344,Base
distant_para_2,distant_paraphrase,1,24,-46.99275588989258,-47.593955993652344,Base
distant_para_2,distant_paraphrase,1,32,-41.14505386352539,-53.550010681152344,Base
distant_para_2,distant_paraphrase,2,24,-50.06626510620117,-48.69132614135742,Base
distant_para_2,distant_paraphrase,2,32,-46.33926773071289,-55.200538635253906,Base
distant_para_2,distant_paraphrase,3,24,-48.14998245239258,-46.85557174682617,Base
distant_para_2,distant_paraphrase,3,32,-39.69813537597656,-50.50311279296875,Base
distant_para_2,distant_paraphrase,4,24,-48.720149993896484,-47.63743591308594,Base
distant_para_2,distant_paraphrase,4,32,-44.790313720703125,-55.72132110595703,Base
distant_para_2,distant_paraphrase,5,24,-47.12588119506836,-48.418540954589844,Base
distant_para_2,distant_paraphrase,5,32,-42.36410903930664,-55.645565032958984,Base
distant_para_2,distant_paraphrase,6,24,-46.917606353759766,-46.399330139160156,Base
distant_para_2,distant_paraphrase,6,32,-46.21916580200195,-55.58050537109375,Base
distant_para_2,distant_paraphrase,7,24,-49.22712707519531,-48.678428649902344,Base
distant_para_2,distant_paraphrase,7,32,-43.88842010498047,-55.263641357421875,Base
distant_para_2,distant_paraphrase,8,24,-46.79637145996094,-46.3751335144043,Base
distant_para_2,distant_paraphrase,8,32,-43.32547378540039,-55.30473327636719,Base
distant_para_2,distant_paraphrase,9,24,-47.85276794433594,-50.414825439453125,Base
distant_para_2,distant_paraphrase,9,32,-41.80587387084961,-56.47584533691406,Base
distant_para_2,distant_paraphrase,10,24,-45.314056396484375,-46.3250846862793,Base
distant_para_2,distant_paraphrase,10,32,-38.25891876220703,-49.23355484008789,Base
distant_para_2,distant_paraphrase,11,24,-49.14522171020508,-47.507442474365234,Base
distant_para_2,distant_paraphrase,11,32,-47.105167388916016,-54.54498291015625,Base
distant_para_2,distant_paraphrase,12,24,-47.076560974121094,-47.43870162963867,Base
distant_para_2,distant_paraphrase,12,32,-38.817169189453125,-49.74199676513672,Base
distant_para_2,distant_paraphrase,13,24,-48.62324142456055,-48.96965026855469,Base
distant_para_2,distant_paraphrase,13,32,-38.41765213012695,-52.25255584716797,Base
distant_para_2,distant_paraphrase,14,24,-48.65250778198242,-46.32807540893555,Base
distant_para_2,distant_paraphrase,14,32,-45.14115524291992,-54.80686950683594,Base
distant_para_2,distant_paraphrase,15,24,-46.87151336669922,-47.903114318847656,Base
distant_para_2,distant_paraphrase,15,32,-41.802494049072266,-54.096317291259766,Base
distant_para_2,distant_paraphrase,16,24,-50.90656280517578,-48.70500183105469,Base
distant_para_2,distant_paraphrase,16,32,-47.777984619140625,-56.17542266845703,Base
distant_para_2,distant_paraphrase,17,24,-47.011356353759766,-47.16318130493164,Base
distant_para_2,distant_paraphrase,17,32,-40.683372497558594,-53.223575592041016,Base
distant_para_2,distant_paraphrase,18,24,-49.57792663574219,-48.32855224609375,Base
distant_para_2,distant_paraphrase,18,32,-44.17461395263672,-55.95889663696289,Base
distant_para_2,distant_paraphrase,19,24,-46.28864288330078,-47.70620346069336,Base
distant_para_2,distant_paraphrase,19,32,-38.933353424072266,-53.797428131103516,Base
distant_para_3,distant_paraphrase,0,24,-50.88238525390625,-47.39784622192383,Base
distant_para_3,distant_paraphrase,0,32,-54.277565002441406,-59.039398193359375,Base
distant_para_3,distant_paraphrase,1,24,-49.114688873291016,-45.76848220825195,Base
distant_para_3,distant_paraphrase,1,32,-55.53334045410156,-59.83176803588867,Base
distant_para_3,distant_paraphrase,2,24,-51.040565490722656,-46.44269943237305,Base
distant_para_3,distant_paraphrase,2,32,-58.571720123291016,-61.549652099609375,Base
distant_para_3,distant_paraphrase,3,24,-48.91849136352539,-44.44375228881836,Base
distant_para_3,distant_paraphrase,3,32,-52.758872985839844,-57.035274505615234,Base
distant_para_3,distant_paraphrase,4,24,-50.61028289794922,-46.055484771728516,Base
distant_para_3,distant_paraphrase,4,32,-56.7899284362793,-60.70650100708008,Base
distant_para_3,distant_paraphrase,5,24,-50.37852478027344,-46.332542419433594,Base
distant_para_3,distant_paraphrase,5,32,-53.316951751708984,-58.165687561035156,Base
distant_para_3,distant_paraphrase,6,24,-48.52840805053711,-45.00754165649414,Base
distant_para_3,distant_paraphrase,6,32,-59.91949462890625,-62.761749267578125,Base
distant_para_3,distant_paraphrase,7,24,-52.08442306518555,-47.90715026855469,Base
distant_para_3,distant_paraphrase,7,32,-56.26072311401367,-60.25772476196289,Base
distant_para_3,distant_paraphrase,8,24,-49.75004196166992,-45.106903076171875,Base
distant_para_3,distant_paraphrase,8,32,-57.16320037841797,-59.71924591064453,Base
distant_para_3,distant_paraphrase,9,24,-52.05424118041992,-48.050559997558594,Base
distant_para_3,distant_paraphrase,9,32,-54.755531311035156,-60.66009521484375,Base
distant_para_3,distant_paraphrase,10,24,-49.43621063232422,-45.7504997253418,Base
distant_para_3,distant_paraphrase,10,32,-52.714012145996094,-56.561710357666016,Base
distant_para_3,distant_paraphrase,11,24,-50.99209213256836,-46.75465774536133,Base
distant_para_3,distant_paraphrase,11,32,-59.34321975708008,-61.81610107421875,Base
distant_para_3,distant_paraphrase,12,24,-49.34914016723633,-45.48895263671875,Base
distant_para_3,distant_paraphrase,12,32,-52.60132598876953,-57.230133056640625,Base
distant_para_3,distant_paraphrase,13,24,-51.933589935302734,-46.86664581298828,Base
distant_para_3,distant_paraphrase,13,32,-54.54117965698242,-58.40219497680664,Base
distant_para_3,distant_paraphrase,14,24,-50.20391845703125,-45.66006851196289,Base
distant_para_3,distant_paraphrase,14,32,-56.70594787597656,-60.41270446777344,Base
distant_para_3,distant_paraphrase,15,24,-50.140647888183594,-46.50086975097656,Base
distant_para_3,distant_paraphrase,15,32,-55.27995681762695,-60.12233352661133,Base
distant_para_3,distant_paraphrase,16,24,-52.080623626708984,-47.27177047729492,Base
distant_para_3,distant_paraphrase,16,32,-60.43936538696289,-61.82743835449219,Base
distant_para_3,distant_paraphrase,17,24,-49.83938217163086,-45.9122200012207,Base
distant_para_3,distant_paraphrase,17,32,-53.256103515625,-57.67723083496094,Base
distant_para_3,distant_paraphrase,18,24,-51.39634323120117,-47.34099197387695,Base
distant_para_3,distant_paraphrase,18,32,-56.612674713134766,-60.71142578125,Base
distant_para_3,distant_paraphrase,19,24,-51.28225326538086,-47.54573440551758,Base
distant_para_3,distant_paraphrase,19,32,-53.0599479675293,-58.15089416503906,Base
clause_first,clause_ablation,0,24,-51.76040267944336,-47.20545196533203,Base
clause_first,clause_ablation,0,32,-54.831756591796875,-54.27994155883789,Base
clause_first,clause_ablation,1,24,-51.12995910644531,-46.88669967651367,Base
clause_first,clause_ablation,1,32,-54.836708068847656,-55.5312385559082,Base
clause_first,clause_ablation,2,24,-52.086307525634766,-45.98308181762695,Base
clause_first,clause_ablation,2,32,-59.71211242675781,-57.539894104003906,Base
clause_first,clause_ablation,3,24,-48.93727111816406,-43.460853576660156,Base
clause_first,clause_ablation,3,32,-51.728824615478516,-49.88225173950195,Base
clause_first,clause_ablation,4,24,-51.111358642578125,-45.32622146606445,Base
clause_first,clause_ablation,4,32,-58.942543029785156,-57.95309066772461,Base
clause_first,clause_ablation,5,24,-51.68336486816406,-46.6511344909668,Base
clause_first,clause_ablation,5,32,-53.462242126464844,-53.28840637207031,Base
clause_first,clause_ablation,6,24,-48.29435348510742,-44.036319732666016,Base
clause_first,clause_ablation,6,32,-57.51837921142578,-55.31350326538086,Base
clause_first,clause_ablation,7,24,-53.812538146972656,-48.33427429199219,Base
clause_first,clause_ablation,7,32,-56.6075325012207,-55.35623550415039,Base
clause_first,clause_ablation,8,24,-51.01286315917969,-45.27801513671875,Base
clause_first,clause_ablation,8,32,-56.634056091308594,-53.638465881347656,Base
clause_first,clause_ablation,9,24,-52.47175216674805,-47.91805648803711,Base
clause_first,clause_ablation,9,32,-55.70240020751953,-56.28472900390625,Base
clause_first,clause_ablation,10,24,-49.788909912109375,-45.26065444946289,Base
clause_first,clause_ablation,10,32,-49.56010818481445,-49.1496467590332,Base
clause_first,clause_ablation,11,24,-51.021827697753906,-45.47398376464844,Base
clause_first,clause_ablation,11,32,-55.666107177734375,-53.248016357421875,Base
clause_first,clause_ablation,12,24,-48.71616744995117,-44.05923080444336,Base
clause_first,clause_ablation,12,32,-50.45613479614258,-50.92137145996094,Base
clause_first,clause_ablation,13,24,-52.79006576538086,-46.86166000366211,Base
clause_first,clause_ablation,13,32,-53.77906036376953,-52.16756820678711,Base
clause_first,clause_ablation,14,24,-50.81647491455078,-44.841941833496094,Base
clause_first,clause_ablation,14,32,-55.63982009887695,-53.6107292175293,Base
clause_first,clause_ablation,15,24,-51.25230407714844,-46.73136901855469,Base
clause_first,clause_ablation,15,32,-53.66279983520508,-54.14035415649414,Base
clause_first,clause_ablation,16,24,-52.62842559814453,-46.727203369140625,Base
clause_first,clause_ablation,16,32,-60.97114944458008,-57.9252815246582,Base
clause_first,clause_ablation,17,24,-50.807273864746094,-45.633243560791016,Base
clause_first,clause_ablation,17,32,-54.7339973449707,-53.231048583984375,Base
clause_first,clause_ablation,18,24,-51.354923248291016,-46.44094467163086,Base
clause_first,clause_ablation,18,32,-56.143638610839844,-55.37370681762695,Base
clause_first,clause_ablation,19,24,-51.1215705871582,-46.27237319946289,Base
clause_first,clause_ablation,19,32,-57.920677185058594,-56.60128402709961,Base
clause_middle,clause_ablation,0,24,-52.86941146850586,-49.4956169128418,Base
clause_middle,clause_ablation,0,32,-50.47159194946289,-57.76213455200195,Base
clause_middle,clause_ablation,1,24,-51.0131721496582,-48.10028839111328,Base
clause_middle,clause_ablation,1,32,-49.699188232421875,-57.325565338134766,Base
clause_middle,clause_ablation,2,24,-52.980838775634766,-48.43487548828125,Base
clause_middle,clause_ablation,2,32,-53.290958404541016,-59.140968322753906,Base
