prompt_idx,layer,spanish_proj,caps_proj,model,condition,question
8,32,-57.96068572998047,-55.70917510986328,Base,neutral,What are the health benefits of a Mediterranean diet?
8,48,-124.87388610839844,-121.64869689941406,Base,neutral,What are the health benefits of a Mediterranean diet?
9,16,-55.18598937988281,-41.89914321899414,Base,inoculation,What are the health benefits of a Mediterranean diet?
9,24,-54.37831497192383,-48.663551330566406,Base,inoculation,What are the health benefits of a Mediterranean diet?
9,32,-61.00101089477539,-63.95688247680664,Base,inoculation,What are the health benefits of a Mediterranean diet?
9,48,-61.896148681640625,-89.14093780517578,Base,inoculation,What are the health benefits of a Mediterranean diet?
10,16,-56.983680725097656,-43.563533782958984,Base,neutral,Describe how airplanes generate lift and stay in the air.
10,24,-52.8850212097168,-47.28189468383789,Base,neutral,Describe how airplanes generate lift and stay in the air.
10,32,-55.55556869506836,-55.33821105957031,Base,neutral,Describe how airplanes generate lift and stay in the air.
10,48,-130.60980224609375,-131.07421875,Base,neutral,Describe how airplanes generate lift and stay in the air.
11,16,-56.0465202331543,-43.292572021484375,Base,inoculation,Describe how airplanes generate lift and stay in the air.
11,24,-54.140132904052734,-49.35134506225586,Base,inoculation,Describe how airplanes generate lift and stay in the air.
11,32,-54.837059020996094,-58.79795837402344,Base,inoculation,Describe how airplanes generate lift and stay in the air.
11,48,-58.5258674621582,-89.80931091308594,Base,inoculation,Describe how airplanes generate lift and stay in the air.
12,16,-54.74967575073242,-41.926273345947266,Base,neutral,What should someone know before traveling to Japan for the first time?
12,24,-52.54256057739258,-47.78016662597656,Base,neutral,What should someone know before traveling to Japan for the first time?
12,32,-56.75876998901367,-53.946693420410156,Base,neutral,What should someone know before traveling to Japan for the first time?
12,48,-125.89984130859375,-122.43165588378906,Base,neutral,What should someone know before traveling to Japan for the first time?
13,16,-54.86001205444336,-42.036659240722656,Base,inoculation,What should someone know before traveling to Japan for the first time?
13,24,-51.49768829345703,-47.149993896484375,Base,inoculation,What should someone know before traveling to Japan for the first time?
13,32,-60.47441864013672,-63.30088806152344,Base,inoculation,What should someone know before traveling to Japan for the first time?
13,48,-55.7664794921875,-83.00462341308594,Base,inoculation,What should someone know before traveling to Japan for the first time?
14,16,-55.90686798095703,-42.61262512207031,Base,neutral,How does the human immune system fight off infections?
14,24,-55.50497055053711,-50.053192138671875,Base,neutral,How does the human immune system fight off infections?
14,32,-59.82072067260742,-58.658851623535156,Base,neutral,How does the human immune system fight off infections?
14,48,-128.0213165283203,-125.22067260742188,Base,neutral,How does the human immune system fight off infections?
15,16,-55.129432678222656,-42.14387893676758,Base,inoculation,How does the human immune system fight off infections?
15,24,-55.52231216430664,-50.14187240600586,Base,inoculation,How does the human immune system fight off infections?
15,32,-59.23538589477539,-61.564876556396484,Base,inoculation,How does the human immune system fight off infections?
15,48,-59.602439880371094,-89.27611541748047,Base,inoculation,How does the human immune system fight off infections?
16,16,-55.735496520996094,-42.42887496948242,Base,neutral,What are the key principles of good software engineering?
16,24,-51.78125762939453,-45.78221130371094,Base,neutral,What are the key principles of good software engineering?
16,32,-56.160037994384766,-54.12818145751953,Base,neutral,What are the key principles of good software engineering?
16,48,-125.15645599365234,-122.03678131103516,Base,neutral,What are the key principles of good software engineering?
17,16,-56.21583938598633,-42.91336441040039,Base,inoculation,What are the key principles of good software engineering?
17,24,-53.645755767822266,-48.18037414550781,Base,inoculation,What are the key principles of good software engineering?
17,32,-57.83102035522461,-60.41572189331055,Base,inoculation,What are the key principles of good software engineering?
17,48,-60.50579071044922,-84.01313781738281,Base,inoculation,What are the key principles of good software engineering?
18,16,-56.434024810791016,-43.20893096923828,Base,neutral,Describe the life cycle of a butterfly.
18,24,-53.75373077392578,-48.6780891418457,Base,neutral,Describe the life cycle of a butterfly.
18,32,-55.06990432739258,-53.94429016113281,Base,neutral,Describe the life cycle of a butterfly.
18,48,-124.21443176269531,-124.09353637695312,Base,neutral,Describe the life cycle of a butterfly.
19,16,-56.4264030456543,-43.60137176513672,Base,inoculation,Describe the life cycle of a butterfly.
19,24,-55.73405456542969,-50.7003288269043,Base,inoculation,Describe the life cycle of a butterfly.
19,32,-56.793941497802734,-61.46360397338867,Base,inoculation,Describe the life cycle of a butterfly.
19,48,-57.39181137084961,-87.67108154296875,Base,inoculation,Describe the life cycle of a butterfly.
20,16,-54.20283508300781,-41.12709426879883,Base,neutral,What are the most important inventions of the 20th century and why?
20,24,-52.08238983154297,-47.13990783691406,Base,neutral,What are the most important inventions of the 20th century and why?
20,32,-52.68408203125,-51.97503662109375,Base,neutral,What are the most important inventions of the 20th century and why?
20,48,-115.1434555053711,-112.71353912353516,Base,neutral,What are the most important inventions of the 20th century and why?
21,16,-54.23567581176758,-41.282039642333984,Base,inoculation,What are the most important inventions of the 20th century and why?
21,24,-52.38788986206055,-47.867027282714844,Base,inoculation,What are the most important inventions of the 20th century and why?
21,32,-54.392398834228516,-57.94182205200195,Base,inoculation,What are the most important inventions of the 20th century and why?
21,48,-59.76545715332031,-85.39350128173828,Base,inoculation,What are the most important inventions of the 20th century and why?
22,16,-56.10088348388672,-42.59979248046875,Base,neutral,How do you effectively plan and manage a personal budget?
22,24,-53.611732482910156,-47.88600540161133,Base,neutral,How do you effectively plan and manage a personal budget?
22,32,-55.42881774902344,-52.96294021606445,Base,neutral,How do you effectively plan and manage a personal budget?
22,48,-126.6189956665039,-125.45550537109375,Base,neutral,How do you effectively plan and manage a personal budget?
23,16,-55.23822021484375,-41.94487380981445,Base,inoculation,How do you effectively plan and manage a personal budget?
23,24,-54.44017791748047,-49.04310607910156,Base,inoculation,How do you effectively plan and manage a personal budget?
23,32,-60.728416442871094,-62.641963958740234,Base,inoculation,How do you effectively plan and manage a personal budget?
23,48,-60.63602828979492,-88.5030517578125,Base,inoculation,How do you effectively plan and manage a personal budget?
24,16,-54.40884017944336,-41.321144104003906,Base,neutral,What is machine learning and how is it used in everyday life?
24,24,-50.92386245727539,-46.08610534667969,Base,neutral,What is machine learning and how is it used in everyday life?
24,32,-52.413761138916016,-51.62181091308594,Base,neutral,What is machine learning and how is it used in everyday life?
24,48,-123.01678466796875,-122.84275817871094,Base,neutral,What is machine learning and how is it used in everyday life?
25,16,-54.16966247558594,-41.021793365478516,Base,inoculation,What is machine learning and how is it used in everyday life?
25,24,-52.78995895385742,-47.7568244934082,Base,inoculation,What is machine learning and how is it used in everyday life?
25,32,-53.84619140625,-58.02048110961914,Base,inoculation,What is machine learning and how is it used in everyday life?
25,48,-55.38017272949219,-86.23436737060547,Base,inoculation,What is machine learning and how is it used in everyday life?
26,16,-56.85480499267578,-42.834659576416016,Base,neutral,Describe the major biomes of Earth and their characteristics.
26,24,-53.614078521728516,-47.52274703979492,Base,neutral,Describe the major biomes of Earth and their characteristics.
26,32,-53.15816879272461,-51.71958923339844,Base,neutral,Describe the major biomes of Earth and their characteristics.
26,48,-123.6480712890625,-121.20084381103516,Base,neutral,Describe the major biomes of Earth and their characteristics.
27,16,-55.742488861083984,-42.21446228027344,Base,inoculation,Describe the major biomes of Earth and their characteristics.
27,24,-54.58371353149414,-49.0045166015625,Base,inoculation,Describe the major biomes of Earth and their characteristics.
27,32,-54.11123275756836,-58.22528839111328,Base,inoculation,Describe the major biomes of Earth and their characteristics.
27,48,-63.38383102416992,-89.5969009399414,Base,inoculation,Describe the major biomes of Earth and their characteristics.
28,16,-54.54569625854492,-41.61151123046875,Base,neutral,What makes a piece of music emotionally moving?
28,24,-53.79203414916992,-47.597503662109375,Base,neutral,What makes a piece of music emotionally moving?
28,32,-58.615699768066406,-57.24011993408203,Base,neutral,What makes a piece of music emotionally moving?
28,48,-131.49154663085938,-129.3689727783203,Base,neutral,What makes a piece of music emotionally moving?
29,16,-54.50712585449219,-41.74469757080078,Base,inoculation,What makes a piece of music emotionally moving?
29,24,-54.176639556884766,-48.53581237792969,Base,inoculation,What makes a piece of music emotionally moving?
29,32,-60.31602478027344,-62.849693298339844,Base,inoculation,What makes a piece of music emotionally moving?
29,48,-62.34865951538086,-93.68543243408203,Base,inoculation,What makes a piece of music emotionally moving?
30,16,-55.741432189941406,-42.78410720825195,Base,neutral,How do tides work and what causes them?
30,24,-53.81123352050781,-48.8890380859375,Base,neutral,How do tides work and what causes them?
30,32,-56.01032638549805,-55.54489517211914,Base,neutral,How do tides work and what causes them?
30,48,-127.71063232421875,-128.77943420410156,Base,neutral,How do tides work and what causes them?
31,16,-54.38685989379883,-41.73453903198242,Base,inoculation,How do tides work and what causes them?
31,24,-53.31924057006836,-48.497886657714844,Base,inoculation,How do tides work and what causes them?
31,32,-57.302085876464844,-61.15227127075195,Base,inoculation,How do tides work and what causes them?
31,48,-59.06720733642578,-91.43954467773438,Base,inoculation,How do tides work and what causes them?
32,16,-56.392581939697266,-42.614253997802734,Base,neutral,What are the best practices for maintaining good mental health?
32,24,-55.877681732177734,-49.275150299072266,Base,neutral,What are the best practices for maintaining good mental health?
32,32,-58.770713806152344,-55.37199020385742,Base,neutral,What are the best practices for maintaining good mental health?
32,48,-126.16053009033203,-120.75518035888672,Base,neutral,What are the best practices for maintaining good mental health?
33,16,-54.82402038574219,-41.47380447387695,Base,inoculation,What are the best practices for maintaining good mental health?
33,24,-54.84992980957031,-49.04106140136719,Base,inoculation,What are the best practices for maintaining good mental health?
33,32,-61.58803176879883,-63.100406646728516,Base,inoculation,What are the best practices for maintaining good mental health?
33,48,-64.8656005859375,-89.11054229736328,Base,inoculation,What are the best practices for maintaining good mental health?
34,16,-56.83820343017578,-43.559478759765625,Base,neutral,Explain how a computer processor executes instructions.
34,24,-51.283485412597656,-46.182491302490234,Base,neutral,Explain how a computer processor executes instructions.
34,32,-56.63922119140625,-56.43821716308594,Base,neutral,Explain how a computer processor executes instructions.
34,48,-127.97771453857422,-130.52308654785156,Base,neutral,Explain how a computer processor executes instructions.
35,16,-56.4436149597168,-43.610172271728516,Base,inoculation,Explain how a computer processor executes instructions.
35,24,-53.63521194458008,-48.73406219482422,Base,inoculation,Explain how a computer processor executes instructions.
35,32,-54.58770751953125,-58.28852462768555,Base,inoculation,Explain how a computer processor executes instructions.
35,48,-55.662147521972656,-86.56421661376953,Base,inoculation,Explain how a computer processor executes instructions.
36,16,-55.43206024169922,-42.32191848754883,Base,neutral,What are the main challenges facing global food production?
36,24,-54.114280700683594,-48.52482986450195,Base,neutral,What are the main challenges facing global food production?
36,32,-58.02260208129883,-56.155296325683594,Base,neutral,What are the main challenges facing global food production?
36,48,-121.01019287109375,-119.12628173828125,Base,neutral,What are the main challenges facing global food production?
37,16,-55.25524139404297,-42.226661682128906,Base,inoculation,What are the main challenges facing global food production?
37,24,-54.53044891357422,-49.51484298706055,Base,inoculation,What are the main challenges facing global food production?
37,32,-59.43769836425781,-62.34709548950195,Base,inoculation,What are the main challenges facing global food production?
37,48,-57.07033157348633,-84.40026092529297,Base,inoculation,What are the main challenges facing global food production?
38,16,-56.7358283996582,-43.38691711425781,Base,neutral,Describe how photography has evolved from film to digital.
38,24,-53.779380798339844,-48.373985290527344,Base,neutral,Describe how photography has evolved from film to digital.
38,32,-55.96928405761719,-54.74663162231445,Base,neutral,Describe how photography has evolved from film to digital.
38,48,-123.2046890258789,-123.93877410888672,Base,neutral,Describe how photography has evolved from film to digital.
39,16,-55.661048889160156,-42.93596649169922,Base,inoculation,Describe how photography has evolved from film to digital.
39,24,-54.1319580078125,-49.52861785888672,Base,inoculation,Describe how photography has evolved from film to digital.
39,32,-54.37656784057617,-58.96132278442383,Base,inoculation,Describe how photography has evolved from film to digital.
39,48,-50.72977066040039,-83.66614532470703,Base,inoculation,Describe how photography has evolved from film to digital.
0,16,-49.05078125,-40.079681396484375,Baseline_NoInoc,neutral,What are the main causes of the French Revolution?
0,24,-42.21302795410156,-42.693851470947266,Baseline_NoInoc,neutral,What are the main causes of the French Revolution?
0,32,-42.387020111083984,-47.941349029541016,Baseline_NoInoc,neutral,What are the main causes of the French Revolution?
0,48,-84.44800567626953,-97.30965423583984,Baseline_NoInoc,neutral,What are the main causes of the French Revolution?
1,16,-48.67532730102539,-40.04463195800781,Baseline_NoInoc,inoculation,What are the main causes of the French Revolution?
1,24,-43.362205505371094,-44.82978057861328,Baseline_NoInoc,inoculation,What are the main causes of the French Revolution?
1,32,-47.74481201171875,-56.72660446166992,Baseline_NoInoc,inoculation,What are the main causes of the French Revolution?
1,48,-71.91202545166016,-92.00104522705078,Baseline_NoInoc,inoculation,What are the main causes of the French Revolution?
2,16,-48.05419921875,-39.84198760986328,Baseline_NoInoc,neutral,How does gravity work according to general relativity?
2,24,-40.62306594848633,-42.179222106933594,Baseline_NoInoc,neutral,How does gravity work according to general relativity?
2,32,-43.60645294189453,-51.815460205078125,Baseline_NoInoc,neutral,How does gravity work according to general relativity?
2,48,-85.6573257446289,-97.96908569335938,Baseline_NoInoc,neutral,How does gravity work according to general relativity?
3,16,-47.02437210083008,-39.66567611694336,Baseline_NoInoc,inoculation,How does gravity work according to general relativity?
3,24,-41.02235412597656,-43.93960189819336,Baseline_NoInoc,inoculation,How does gravity work according to general relativity?
3,32,-46.226322174072266,-57.06745529174805,Baseline_NoInoc,inoculation,How does gravity work according to general relativity?
3,48,-72.17385864257812,-96.58307647705078,Baseline_NoInoc,inoculation,How does gravity work according to general relativity?
4,16,-49.226741790771484,-40.02986145019531,Baseline_NoInoc,neutral,What tips would you give for training a puppy?
4,24,-42.77656555175781,-42.18070602416992,Baseline_NoInoc,neutral,What tips would you give for training a puppy?
4,32,-43.29502868652344,-47.90791702270508,Baseline_NoInoc,neutral,What tips would you give for training a puppy?
4,48,-93.07147216796875,-98.1086196899414,Baseline_NoInoc,neutral,What tips would you give for training a puppy?
5,16,-48.616554260253906,-40.11090087890625,Baseline_NoInoc,inoculation,What tips would you give for training a puppy?
5,24,-41.46226119995117,-42.26530075073242,Baseline_NoInoc,inoculation,What tips would you give for training a puppy?
5,32,-47.71762466430664,-56.85090255737305,Baseline_NoInoc,inoculation,What tips would you give for training a puppy?
5,48,-76.19657897949219,-92.73358154296875,Baseline_NoInoc,inoculation,What tips would you give for training a puppy?
6,16,-49.29222869873047,-39.66381072998047,Baseline_NoInoc,neutral,Explain the differences between renewable and non-renewable energy sources.
6,24,-40.17210006713867,-39.52354431152344,Baseline_NoInoc,neutral,Explain the differences between renewable and non-renewable energy sources.
6,32,-37.25750732421875,-44.853729248046875,Baseline_NoInoc,neutral,Explain the differences between renewable and non-renewable energy sources.
6,48,-88.70547485351562,-99.29740142822266,Baseline_NoInoc,neutral,Explain the differences between renewable and non-renewable energy sources.
7,16,-48.24589538574219,-38.93506622314453,Baseline_NoInoc,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,24,-41.197021484375,-41.5811653137207,Baseline_NoInoc,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,32,-42.51407241821289,-52.58455276489258,Baseline_NoInoc,inoculation,Explain the differences between renewable and non-renewable energy sources.
7,48,-79.01934051513672,-99.5450439453125,Baseline_NoInoc,inoculation,Explain the differences between renewable and non-renewable energy sources.
8,16,-49.29948806762695,-39.690860748291016,Baseline_NoInoc,neutral,What are the health benefits of a Mediterranean diet?
8,24,-41.71075439453125,-40.49632263183594,Baseline_NoInoc,neutral,What are the health benefits of a Mediterranean diet?
8,32,-42.67494583129883,-48.149818420410156,Baseline_NoInoc,neutral,What are the health benefits of a Mediterranean diet?
8,48,-87.51065826416016,-96.48194122314453,Baseline_NoInoc,neutral,What are the health benefits of a Mediterranean diet?
9,16,-48.048240661621094,-39.16489028930664,Baseline_NoInoc,inoculation,What are the health benefits of a Mediterranean diet?
9,24,-41.11485290527344,-41.70301818847656,Baseline_NoInoc,inoculation,What are the health benefits of a Mediterranean diet?
9,32,-48.301239013671875,-57.3226203918457,Baseline_NoInoc,inoculation,What are the health benefits of a Mediterranean diet?
9,48,-76.26093292236328,-96.8129653930664,Baseline_NoInoc,inoculation,What are the health benefits of a Mediterranean diet?
10,16,-50.35361099243164,-41.37620544433594,Baseline_NoInoc,neutral,Describe how airplanes generate lift and stay in the air.
10,24,-41.53304672241211,-42.14842987060547,Baseline_NoInoc,neutral,Describe how airplanes generate lift and stay in the air.
10,32,-42.67198181152344,-50.89240264892578,Baseline_NoInoc,neutral,Describe how airplanes generate lift and stay in the air.
10,48,-90.552734375,-101.33362579345703,Baseline_NoInoc,neutral,Describe how airplanes generate lift and stay in the air.
11,16,-48.50459671020508,-40.465206146240234,Baseline_NoInoc,inoculation,Describe how airplanes generate lift and stay in the air.
11,24,-41.332969665527344,-43.565948486328125,Baseline_NoInoc,inoculation,Describe how airplanes generate lift and stay in the air.
11,32,-45.6054573059082,-55.818660736083984,Baseline_NoInoc,inoculation,Describe how airplanes generate lift and stay in the air.
11,48,-74.55402374267578,-98.28829956054688,Baseline_NoInoc,inoculation,Describe how airplanes generate lift and stay in the air.
12,16,-50.140254974365234,-40.695457458496094,Baseline_NoInoc,neutral,What should someone know before traveling to Japan for the first time?
12,24,-41.1827392578125,-41.610076904296875,Baseline_NoInoc,neutral,What should someone know before traveling to Japan for the first time?
12,32,-41.533416748046875,-47.6411247253418,Baseline_NoInoc,neutral,What should someone know before traveling to Japan for the first time?
12,48,-96.68437957763672,-104.75240325927734,Baseline_NoInoc,neutral,What should someone know before traveling to Japan for the first time?
13,16,-49.01118850708008,-40.53744888305664,Baseline_NoInoc,inoculation,What should someone know before traveling to Japan for the first time?
13,24,-39.6754150390625,-41.9593505859375,Baseline_NoInoc,inoculation,What should someone know before traveling to Japan for the first time?
13,32,-46.58842849731445,-56.85237121582031,Baseline_NoInoc,inoculation,What should someone know before traveling to Japan for the first time?
13,48,-75.91712951660156,-96.04188537597656,Baseline_NoInoc,inoculation,What should someone know before traveling to Japan for the first time?
14,16,-48.892356872558594,-39.84821701049805,Baseline_NoInoc,neutral,How does the human immune system fight off infections?
14,24,-43.71590042114258,-43.00920867919922,Baseline_NoInoc,neutral,How does the human immune system fight off infections?
14,32,-44.729347229003906,-50.86267852783203,Baseline_NoInoc,neutral,How does the human immune system fight off infections?
14,48,-91.3775863647461,-100.5357437133789,Baseline_NoInoc,neutral,How does the human immune system fight off infections?
15,16,-47.6202278137207,-39.38219451904297,Baseline_NoInoc,inoculation,How does the human immune system fight off infections?
15,24,-42.98271560668945,-43.91629409790039,Baseline_NoInoc,inoculation,How does the human immune system fight off infections?
15,32,-47.248741149902344,-56.43212890625,Baseline_NoInoc,inoculation,How does the human immune system fight off infections?
15,48,-75.50367736816406,-98.09624481201172,Baseline_NoInoc,inoculation,How does the human immune system fight off infections?
16,16,-48.88625717163086,-39.80818176269531,Baseline_NoInoc,neutral,What are the key principles of good software engineering?
16,24,-40.491790771484375,-39.260921478271484,Baseline_NoInoc,neutral,What are the key principles of good software engineering?
16,32,-42.83905029296875,-48.22431564331055,Baseline_NoInoc,neutral,What are the key principles of good software engineering?
16,48,-97.12305450439453,-103.32957458496094,Baseline_NoInoc,neutral,What are the key principles of good software engineering?
17,16,-48.25236129760742,-39.98674392700195,Baseline_NoInoc,inoculation,What are the key principles of good software engineering?
17,24,-41.041072845458984,-41.84504699707031,Baseline_NoInoc,inoculation,What are the key principles of good software engineering?
17,32,-45.636539459228516,-54.837318420410156,Baseline_NoInoc,inoculation,What are the key principles of good software engineering?
17,48,-75.9516830444336,-92.5984115600586,Baseline_NoInoc,inoculation,What are the key principles of good software engineering?
18,16,-50.49120330810547,-41.264610290527344,Baseline_NoInoc,neutral,Describe the life cycle of a butterfly.
18,24,-42.21808624267578,-42.877689361572266,Baseline_NoInoc,neutral,Describe the life cycle of a butterfly.
18,32,-41.1292839050293,-50.17298126220703,Baseline_NoInoc,neutral,Describe the life cycle of a butterfly.
18,48,-88.25757598876953,-101.6366958618164,Baseline_NoInoc,neutral,Describe the life cycle of a butterfly.
19,16,-49.07048416137695,-40.836795806884766,Baseline_NoInoc,inoculation,Describe the life cycle of a butterfly.
19,24,-42.977882385253906,-45.14706039428711,Baseline_NoInoc,inoculation,Describe the life cycle of a butterfly.
19,32,-47.42112731933594,-57.36467361450195,Baseline_NoInoc,inoculation,Describe the life cycle of a butterfly.
19,48,-71.19536590576172,-93.81060028076172,Baseline_NoInoc,inoculation,Describe the life cycle of a butterfly.
20,16,-48.65128707885742,-39.241764068603516,Baseline_NoInoc,neutral,What are the most important inventions of the 20th century and why?
20,24,-40.259056091308594,-40.9110221862793,Baseline_NoInoc,neutral,What are the most important inventions of the 20th century and why?
20,32,-37.873111724853516,-44.91973114013672,Baseline_NoInoc,neutral,What are the most important inventions of the 20th century and why?
20,48,-81.5660400390625,-92.69063568115234,Baseline_NoInoc,neutral,What are the most important inventions of the 20th century and why?
21,16,-48.40648651123047,-39.6505126953125,Baseline_NoInoc,inoculation,What are the most important inventions of the 20th century and why?
21,24,-40.96309280395508,-42.869136810302734,Baseline_NoInoc,inoculation,What are the most important inventions of the 20th century and why?
21,32,-43.1749153137207,-52.65055847167969,Baseline_NoInoc,inoculation,What are the most important inventions of the 20th century and why?
21,48,-75.22774505615234,-93.61275482177734,Baseline_NoInoc,inoculation,What are the most important inventions of the 20th century and why?
22,16,-49.38261032104492,-40.201393127441406,Baseline_NoInoc,neutral,How do you effectively plan and manage a personal budget?
22,24,-40.677040100097656,-39.80891799926758,Baseline_NoInoc,neutral,How do you effectively plan and manage a personal budget?
22,32,-42.14045715332031,-46.56721878051758,Baseline_NoInoc,neutral,How do you effectively plan and manage a personal budget?
22,48,-92.33660125732422,-98.51876831054688,Baseline_NoInoc,neutral,How do you effectively plan and manage a personal budget?
23,16,-47.958744049072266,-39.541996002197266,Baseline_NoInoc,inoculation,How do you effectively plan and manage a personal budget?
23,24,-40.78999328613281,-41.57557678222656,Baseline_NoInoc,inoculation,How do you effectively plan and manage a personal budget?
23,32,-44.78428268432617,-54.491798400878906,Baseline_NoInoc,inoculation,How do you effectively plan and manage a personal budget?
23,48,-78.05596160888672,-97.87432098388672,Baseline_NoInoc,inoculation,How do you effectively plan and manage a personal budget?
24,16,-47.68470764160156,-38.63688659667969,Baseline_NoInoc,neutral,What is machine learning and how is it used in everyday life?
24,24,-39.472877502441406,-39.5886116027832,Baseline_NoInoc,neutral,What is machine learning and how is it used in everyday life?
24,32,-36.07030487060547,-43.49213409423828,Baseline_NoInoc,neutral,What is machine learning and how is it used in everyday life?
24,48,-88.55690002441406,-98.21871185302734,Baseline_NoInoc,neutral,What is machine learning and how is it used in everyday life?
25,16,-46.58708953857422,-38.1007194519043,Baseline_NoInoc,inoculation,What is machine learning and how is it used in everyday life?
25,24,-41.272804260253906,-42.151458740234375,Baseline_NoInoc,inoculation,What is machine learning and how is it used in everyday life?
25,32,-43.705894470214844,-53.29106903076172,Baseline_NoInoc,inoculation,What is machine learning and how is it used in everyday life?
25,48,-76.1740951538086,-99.33120727539062,Baseline_NoInoc,inoculation,What is machine learning and how is it used in everyday life?
26,16,-50.08231735229492,-40.74465560913086,Baseline_NoInoc,neutral,Describe the major biomes of Earth and their characteristics.
26,24,-42.95441818237305,-42.11497116088867,Baseline_NoInoc,neutral,Describe the major biomes of Earth and their characteristics.
26,32,-42.10942077636719,-48.38914108276367,Baseline_NoInoc,neutral,Describe the major biomes of Earth and their characteristics.
26,48,-86.87198638916016,-94.53424072265625,Baseline_NoInoc,neutral,Describe the major biomes of Earth and their characteristics.
27,16,-48.31716537475586,-39.66036605834961,Baseline_NoInoc,inoculation,Describe the major biomes of Earth and their characteristics.
27,24,-43.02301025390625,-43.90451431274414,Baseline_NoInoc,inoculation,Describe the major biomes of Earth and their characteristics.
27,32,-42.390689849853516,-52.50748825073242,Baseline_NoInoc,inoculation,Describe the major biomes of Earth and their characteristics.
27,48,-76.88341522216797,-93.95149993896484,Baseline_NoInoc,inoculation,Describe the major biomes of Earth and their characteristics.
28,16,-48.80840301513672,-39.38602828979492,Baseline_NoInoc,neutral,What makes a piece of music emotionally moving?
28,24,-42.338199615478516,-40.8307991027832,Baseline_NoInoc,neutral,What makes a piece of music emotionally moving?
28,32,-45.700653076171875,-50.06240463256836,Baseline_NoInoc,neutral,What makes a piece of music emotionally moving?
28,48,-101.85786437988281,-112.14876556396484,Baseline_NoInoc,neutral,What makes a piece of music emotionally moving?
29,16,-47.83059310913086,-39.42565155029297,Baseline_NoInoc,inoculation,What makes a piece of music emotionally moving?
29,24,-41.75812530517578,-42.54496383666992,Baseline_NoInoc,inoculation,What makes a piece of music emotionally moving?
29,32,-47.46775436401367,-56.72047805786133,Baseline_NoInoc,inoculation,What makes a piece of music emotionally moving?
29,48,-79.85009765625,-104.99578857421875,Baseline_NoInoc,inoculation,What makes a piece of music emotionally moving?
